:BG_IMAGE
15
:BG_IMAGE

:BG_SPEED
2
:BG_SPEED

:STAGE_BGM
8
:STAGE_BGM

:BOSS_BGM
12
:BOSS_BGM

:ENEMY_DIC
11,0,0,39,28,39,0,22,18,20,normal,160,8,air,3,8,0,9,5,1,0,0,normal,none,target,40,200,0
11,84,0,32,23,84,24,0,0,30,normal,300,4,ground,2,37,0,4,4,3,2,0,normal,none,halfTarget,13,10,0
11,128,0,32,23,128,24,0,0,30,normal,300,4,ground,-2,37,0,4,4,3,2,0,normal,none,halfTarget,13,10,0
11,168,0,72,72,168,72,0,0,450,score,4000,12,ground,2,3,2,7,4,5,3,0,medium,random,halfTarget,-1,0,0
11,0,56,92,45,0,102,66,18,450,score,4000,2,air,4,20,10,2,5,3,30,20,medium,none,target,16,6,15
11,0,151,23,32,27,151,0,0,30,normal,300,4,ground,3,2,0,4,4,3,2,10,normal,none,halfTarget,13,10,0
11,55,150,40,51,99,150,0,0,120,normal,600,2,ground,2,2,0,4,5,4,5,15,normal,random,halfTarget,12,30,0
11,2,204,32,32,38,204,18,18,100,normal,160,2,air,5,20,12,9,5,1,0,0,normal,random,target,14,10,0
18,2,1,155,93,2,100,36,36,11000,score,75000,3,air,3,21,12,10,4,4,30,0,large,none,target,-1,0,0
11,0,0,39,28,39,0,22,18,20,normal,160,8,air,-3,8,0,9,5,1,0,0,normal,none,target,40,200,0
11,168,0,72,72,168,72,0,0,450,score,4000,25,ground,2,3,3,7,4,4,3,0,medium,random,halfTarget,-1,0,10
:ENEMY_DIC

:HARD_ENEMY_DIC
11,0,0,39,28,39,0,22,18,20,normal,480,8,air,3,8,0,9,5,3,20,0,normal,none,target,40,200,0
11,84,0,32,23,84,24,0,0,30,normal,900,3,ground,2,19,0,4,5,3,2,0,normal,none,halfTarget,9,5,0
11,128,0,32,23,128,24,0,0,30,normal,900,3,ground,-2,19,0,4,6,3,2,0,normal,none,halfTarget,9,5,0
11,168,0,72,72,168,72,0,0,450,score,12000,10,ground,2,3,2,7,5,6,3,0,medium,random,halfTarget,-1,0,0
11,0,56,92,45,0,102,66,18,450,score,12000,2,air,4,20,10,2,6,5,25,20,medium,none,target,17,3,15
11,0,151,23,32,27,151,0,0,30,normal,900,3,ground,3,3,0,4,5,3,2,10,normal,none,halfTarget,9,5,0
11,55,150,40,51,99,150,0,0,120,normal,1800,2,ground,2,2,0,4,5,4,5,15,normal,random,halfTarget,12,10,0
11,2,204,32,32,38,204,18,18,100,normal,480,4,air,5,20,12,9,5,1,0,0,normal,random,target,19,5,0
18,2,1,155,93,2,100,36,36,11000,score,225000,2,air,3,22,12,10,4,5,23,0,large,none,target,-1,0,0
11,0,0,39,28,39,0,22,18,20,normal,480,8,air,-3,8,0,9,5,3,20,0,normal,none,target,40,200,0
11,168,0,72,72,168,72,0,0,450,score,12000,18,ground,2,3,3,7,5,4,3,0,medium,random,halfTarget,-1,0,0
:HARD_ENEMY_DIC

:HELL_ENEMY_DIC
11,0,0,39,28,39,0,22,18,20,normal,1600,8,air,3,8,0,9,6,5,13,0,normal,none,target,40,200,0
11,84,0,32,23,84,24,0,0,30,normal,3000,3,ground,2,19,1,4,6,11,3,0,normal,none,halfTarget,6,10,0
11,128,0,32,23,128,24,0,0,30,normal,3000,3,ground,-2,19,1,4,6,11,3,0,normal,none,halfTarget,6,10,0
11,168,0,72,72,168,72,0,0,450,score,40000,8,ground,2,3,2,7,5,7,3,0,medium,random,halfTarget,-1,0,0
11,0,56,92,45,0,102,66,18,450,score,40000,2,air,4,20,10,2,7,5,13,20,medium,none,target,17,3,15
11,0,151,23,32,27,151,0,0,30,normal,3000,3,ground,3,3,1,4,6,11,3,10,normal,random,halfTarget,6,10,0
11,55,150,40,51,99,150,0,0,120,normal,6000,2,ground,2,2,0,4,7,6,5,15,normal,random,halfTarget,12,10,0
11,2,204,32,32,38,204,18,18,100,normal,1600,2,air,5,20,12,9,5,1,0,0,normal,random,target,-1,0,0
18,2,1,155,93,2,100,36,36,11000,score,750000,2,air,3,32,12,10,4,5,20,0,large,none,target,-1,0,0
11,0,0,39,28,39,0,22,18,20,normal,1600,8,air,-3,8,0,9,6,5,13,0,normal,none,target,40,200,0
11,168,0,72,72,168,72,0,0,450,score,40000,10,ground,2,3,3,7,6,4,3,0,medium,random,halfTarget,-1,0,0
:HELL_ENEMY_DIC


:ENEMY_TEST
50,8,42,up,boss
5,3,110,up
:ENEMY_TEST

:ENEMY
70,1,left,80
75,1,left,50
80,2,right,80
85,2,right,50

100,5,110,up
110,5,80,up
110,5,140,up
120,5,50,up
120,5,170,up

133,3,64,up

170,6,150,up

250,5,110,up
260,5,80,up
260,5,140,up
270,5,50,up
270,5,170,up

300,7,40,up
300,7,160,up
320,7,70,up
320,7,130,up

400,2,right,80
405,2,right,50
410,1,left,80
415,1,left,50

430,10,104,up
460,6,30,up
493,3,64,up
520,5,160,up

580,5,110,up
590,5,80,up
590,5,140,up
600,5,50,up
600,5,170,up


640,7,105,up
645,7,55,up
645,7,155,up
660,5,130,up
680,5,130,up

750,4,center,up
820,5,135,up
820,5,165,up
840,5,135,up
840,5,165,up
853,3,64,up
860,5,135,up
860,5,165,up

910,10,104,up
973,3,64,up
990,7,155,up
1030,10,104,up,bomb
1083,3,64,up
1110,7,150,up
1130,7,100,up
1150,7,50,up
1260,4,center,up

1420,0,66,50,warning
1500,8,0,0,bgSpeed
1540,8,42,up,boss
1760,16,0,0,bgSpeed
100,13,0,0,bgImage
100,12,0,0,bgImage
:ENEMY
