:BG_IMAGE
4
:BG_IMAGE

:BG_SPEED
8
:BG_SPEED

:STAGE_BGM
5
:STAGE_BGM

:BOSS_BGM
0
:BOSS_BGM

:ENEMY_DIC
6,0,0,39,28,39,0,22,18,20,normal,100,20,air,3,8,0,9,4,1,0,0,normal,none,target,-1,0,0
6,78,0,26,32,104,0,10,12,10,normal,120,20,air,5,3,-1,0,3,1,0,0,normal,random,target,-1,0,0
6,0,32,64,53,64,32,38,28,190,normal,220,20,air,3,36,0,6,5,1,270,30,normal,none,269,-1,0,0
6,148,1,78,66,148,160,0,0,360,score,1300,10,ground,2,3,0,4,5,4,20,5,medium,none,target,-1,0,0
6,0,96,96,48,96,96,52,4,360,score,1700,10,air,6,5,4,0,4,4,10,65,medium,none,269,-1,0,0
6,0,151,23,32,27,151,0,0,30,normal,500,4,ground,3,2,0,4,4,3,2,10,normal,none,halfTarget,13,10,0
6,55,150,40,51,99,150,0,0,120,normal,800,2,ground,2,2,0,4,5,4,5,15,normal,random,halfTarget,12,30,0
8,6,0,138,120,6,120,120,60,10500,score,30000,25,air,3,15,0,4,4,8,6,0,large,none,target,-1,0,30
6,0,0,39,28,39,0,22,18,20,normal,100,20,air,-3,8,0,9,4,1,0,0,normal,none,target,-1,0,0
:ENEMY_DIC

:HARD_ENEMY_DIC
6,0,0,39,28,39,0,22,18,20,normal,300,8,air,3,8,0,9,5,1,0,0,normal,none,target,-1,0,0
6,78,0,26,32,104,0,10,12,10,normal,360,12,air,5,3,0,9,5,1,30,0,normal,random,target,30,200,0
6,0,32,64,53,64,32,38,28,190,normal,660,15,air,3,36,0,6,6,1,270,30,normal,none,269,-1,0,0
6,148,1,78,66,148,160,0,0,320,score,3900,5,ground,2,3,0,4,5,6,10,5,medium,none,target,-1,0,0
6,0,96,96,48,96,96,52,4,320,score,5100,6,air,6,5,4,0,6,4,20,20,medium,none,269,-1,0,0
6,0,151,23,32,27,151,0,0,30,normal,1500,2,ground,3,3,0,4,5,3,2,10,normal,random,halfTarget,9,5,0
6,55,150,40,51,99,150,0,0,120,normal,2400,2,ground,2,2,0,4,6,4,5,15,normal,random,halfTarget,12,10,0
8,6,0,138,120,6,120,138,70,10500,score,90000,10,air,3,16,0,4,4,10,8,0,large,none,target,-1,0,30
6,0,0,39,28,39,0,22,18,20,normal,300,10,air,-3,8,0,9,5,1,0,0,normal,none,target,-1,0,0
:HARD_ENEMY_DIC

:HELL_ENEMY_DIC
6,0,0,39,28,39,0,22,18,20,normal,1000,8,air,3,8,0,9,6,5,17,0,normal,none,target,-1,0,0
6,78,0,26,32,104,0,10,12,10,normal,1200,12,air,5,3,0,9,6,3,30,0,normal,random,target,30,200,0
6,0,32,64,53,64,32,38,28,190,normal,2200,15,air,4,36,0,6,6,1,270,30,normal,none,269,-1,0,0
6,148,1,78,66,148,160,0,0,320,score,13000,5,ground,2,3,0,4,6,6,7,5,medium,random,target,-1,0,0
6,0,96,96,48,96,96,52,4,320,score,17000,6,air,6,5,4,0,7,5,12,10,medium,none,269,-1,0,0
6,0,151,23,32,27,151,0,0,30,normal,5000,3,ground,3,3,1,4,6,11,3,10,normal,random,halfTarget,6,10,0
6,55,150,40,51,99,150,0,0,120,normal,8000,2,ground,2,2,0,4,7,6,5,15,normal,random,halfTarget,12,10,0
8,6,0,138,120,6,120,138,70,10500,score,300000,10,air,3,30,0,4,4,10,11,0,large,none,target,-1,0,30
6,0,0,39,28,39,0,22,18,20,normal,1000,8,air,-3,8,0,9,6,5,17,0,normal,none,target,-1,0,0
:HELL_ENEMY_DIC

:ENEMY_TEST
50,7,center,up,boss
5,3,110,up
:ENEMY_TEST

:ENEMY
90,1,125,up
100,1,145,up
110,1,165,up

110,0,left,10
125,0,left,30
140,0,left,50

140,1,145,up
150,1,125,up
160,1,105,up
170,8,right,up
170,1,85,up
180,1,65,up

190,2,my,up
195,1,110,up
205,1,150,up
215,0,left,40
225,1,50,up
235,1,80,up
260,4,120,up
280,1,center,up
300,2,my,up
310,1,50,up
320,1,110,up
325,0,left,30
330,1,70,up
340,1,140,up
360,4,30,up

400,1,40,up
400,1,160,up

420,2,my,up

500,2,0,0,bgSpeed

510,1,70,up
510,1,130,up
515,3,center,up
520,1,100,up
550,6,center,up
570,1,120,up
570,1,90,up
580,1,100,up
580,1,70,up
600,4,120,up
610,0,left,20
620,0,left,50
630,0,left,10
640,4,55,up

700,3,center,up
710,0,left,10
710,8,right,10
760,6,80,up
760,6,120,up
790,4,40,up
820,6,center,up
830,1,30,up
860,1,130,up

880,6,center,up
890,5,70,up
900,8,right,up
905,8,right,30
910,8,right,60

920,4,50,up
950,5,70,up
950,5,100,up
970,5,85,up
990,5,70,up
990,5,100,up
1000,3,center,up,bomb
1000,4,140,up


1140,0,66,50,warning
1220,7,center,up,boss
1220,8,0,0,bgSpeed
100,13,0,0,bgImage
100,12,0,0,bgImage
:ENEMY
