:BG_IMAGE
5
:BG_IMAGE

:BG_SPEED
18
:BG_SPEED

:STAGE_BGM
1
:STAGE_BGM

:BOSS_BGM
0
:BOSS_BGM

:ENEMY_DIC
14,0,0,39,28,39,0,22,18,20,normal,80,20,air,3,8,0,9,4,1,0,0,normal,none,target,-1,0,0
14,78,0,26,32,104,0,10,12,10,normal,100,20,air,5,3,-1,0,3,1,0,0,normal,random,target,-1,0,0
14,0,32,64,53,64,32,38,28,220,normal,200,40,air,4,36,0,6,5,1,270,30,normal,none,269,-1,0,0
14,133,0,92,45,133,46,66,18,180,score,800,15,air,2,9,10,2,5,3,30,20,medium,none,269,-1,0,15
14,0,96,96,48,96,96,52,4,320,score,1500,10,air,6,5,4,0,4,4,10,65,medium,none,269,-1,0,0
7,0,0,130,120,0,120,80,64,10000,score,10000,10,air,3,4,0,4,0,6,1,0,large,none,target,-1,0,0
14,0,0,39,28,39,0,22,18,20,normal,80,8,air,-3,8,0,9,4,1,0,0,normal,none,target,-1,0,0
14,133,0,92,45,133,46,66,18,180,score,800,10,air,-3,9,10,2,5,3,30,20,medium,none,269,-1,0,15
:ENEMY_DIC

:HARD_ENEMY_DIC
14,0,0,39,28,39,0,22,18,20,normal,240,8,air,3,8,0,9,5,1,0,0,normal,none,target,40,200,0
14,78,0,26,32,104,0,10,12,10,normal,300,15,air,5,3,0,9,5,1,30,0,normal,random,target,30,200,0
14,0,32,64,53,64,32,38,28,190,normal,600,15,air,4,36,0,6,6,1,270,30,normal,none,269,-1,0,0
14,133,0,92,45,133,46,66,18,180,score,2400,12,air,2,9,10,2,5,3,30,20,medium,random,halfTarget,-1,0,15
14,0,96,96,48,96,96,52,4,320,score,4500,6,air,6,5,4,0,5,4,20,20,medium,none,269,-1,0,0
7,0,0,130,120,0,120,120,100,10000,score,30000,10,air,3,10,0,4,0,6,1,0,large,none,target,-1,0,0
14,0,0,39,28,39,0,22,18,20,normal,240,8,air,-3,8,0,9,5,1,0,0,normal,none,target,40,200,0
14,133,0,92,45,133,46,66,18,180,score,2400,20,air,-3,9,10,2,5,3,30,20,medium,random,halfTarget,-1,0,15
:HARD_ENEMY_DIC

:HELL_ENEMY_DIC
14,0,0,39,28,39,0,22,18,20,normal,800,6,air,3,8,0,9,5,5,20,0,normal,none,target,40,200,0
14,78,0,26,32,104,0,10,12,10,normal,100,12,air,5,3,0,9,6,3,30,0,normal,random,target,30,200,0
14,0,32,64,53,64,32,38,28,190,normal,2000,15,air,4,36,0,6,6,1,270,30,normal,none,269,-1,0,0
14,133,0,92,45,133,46,66,18,180,score,8000,12,air,2,9,10,2,7,5,12,20,medium,random,halfTarget,-1,0,15
14,0,96,96,48,96,96,52,4,320,score,15000,8,air,6,5,4,0,4,5,12,10,medium,none,269,-1,0,0
7,0,0,130,120,0,120,100,90,10000,score,100000,10,air,3,29,0,4,0,6,1,0,large,none,target,-1,0,0
14,0,0,39,28,39,0,22,18,20,normal,800,6,air,-3,8,0,9,5,5,20,0,normal,none,target,40,200,0
14,133,0,92,45,133,46,66,18,180,score,8000,20,air,-3,9,10,2,7,5,12,20,medium,random,halfTarget,-1,0,15
:HELL_ENEMY_DIC

:ENEMY_TEST
50,5,56,up,boss
5,3,110,up
:ENEMY_TEST

:ENEMY
80,8,0,0,bgSpeed
90,1,60,up
100,1,50,up
110,1,40,up

110,1,125,up
120,1,145,up
130,1,165,up
140,2,my,up
155,1,100,up
160,1,70,up
165,1,40,up
180,1,100,up
190,1,120,up
200,1,140,up
210,1,160,up

240,0,left,10
250,0,left,35
260,0,left,55

270,1,125,up
280,1,145,up
290,1,165,up

295,7,20,up
300,6,right,55
310,6,right,35
320,6,right,10

330,1,70,up
335,1,50,up
340,1,30,up

360,0,left,5
360,0,right,5

365,0,left,30
365,0,right,30

370,0,left,50
370,0,right,50

380,2,my,up

420,1,90,up
425,1,60,up
430,1,30,up

450,4,110,up
470,0,left,5
470,0,left,30
470,0,left,60


520,4,30,up
540,6,right,5
540,6,right,30
540,6,right,60

590,3,110,up

620,6,right,35
630,6,right,10
660,7,20,up
700,3,130,up
710,2,my,up

730,0,left,30
730,0,left,60
730,0,left,90

740,1,60,up

745,1,90,up
750,1,90,up
755,1,120,up
760,1,150,up
785,4,100,up
790,1,90,up
795,1,60,up
800,1,30,up
810,1,90,up
815,1,60,up
820,1,30,up

860,4,center,up
870,2,my,up

910,7,20,up
940,3,130,up
970,7,20,up
1000,3,130,up
1070,2,my,up
1100,4,center,up

1240,0,66,50,warning
1240,13,0,0,bgImage
1255,4,0,0,bgSpeed
1265,2,0,0,bgSpeed
1320,5,56,up,boss
1340,12,0,0,bgImage
:ENEMY
