:BG_IMAGE
16
:BG_IMAGE

:BG_SPEED
7
:BG_SPEED

:STAGE_BGM
7
:STAGE_BGM

:BOSS_BGM
12
:BOSS_BGM

:ENEMY_DIC
2,0,0,39,28,39,0,22,18,20,normal,120,20,air,3,8,0,9,4,1,0,0,normal,none,target,-1,0,0
2,79,0,31,32,111,0,15,20,10,normal,300,30,air,3,2,0,9,5,3,0,0,normal,random,target,70,200,0
2,0,32,64,53,64,32,38,28,190,normal,200,40,air,3,36,0,6,6,1,270,30,normal,none,269,-1,0,0
2,145,0,94,56,145,57,45,29,400,score,2000,30,air,7,11,9,2,4,8,22,2,medium,none,269,-1,0,0
2,1,114,95,48,98,114,52,4,320,score,1500,10,air,6,5,4,0,4,4,10,65,medium,none,269,-1,0,0
2,0,164,80,76,84,164,38,66,2000,score,7000,2,air,3,12,0,13,6,4,80,5,medium,none,target,-1,0,0
2,0,0,39,28,39,0,22,18,20,normal,120,20,air,-3,8,0,9,4,1,0,0,normal,none,target,-1,0,0
17,0,12,103,74,0,96,52,58,10000,score,50000,25,air,5,13,0,4,3,6,1,0,large,none,target,-1,0,0
:ENEMY_DIC

:HARD_ENEMY_DIC
2,0,0,39,28,39,0,22,18,20,normal,360,8,air,3,8,0,9,5,1,0,0,normal,none,target,-1,0,0
2,79,0,31,32,111,0,15,20,10,normal,900,15,air,5,3,0,9,5,3,40,0,normal,random,target,30,200,0
2,0,32,64,53,64,32,38,28,190,normal,6600,15,air,4,36,0,6,6,1,270,30,normal,none,269,-1,0,0
2,145,0,94,56,145,57,45,29,240,score,6000,10,air,7,11,9,2,4,8,22,2,medium,none,269,-1,0,0
2,1,114,95,48,98,114,52,4,320,score,3000,6,air,6,5,4,0,6,4,20,20,medium,none,269,-1,0,0
2,0,164,80,76,84,164,38,66,2000,score,21000,3,air,3,18,0,13,7,6,30,7,medium,none,target,-1,0,0
2,0,0,39,28,39,0,22,18,20,normal,360,8,air,-3,8,0,9,5,1,0,0,normal,none,target,-1,0,0
17,0,12,103,74,0,12,52,58,10000,score,150000,15,air,6,14,0,4,5,6,1,0,large,none,target,-1,0,0
:HARD_ENEMY_DIC

:HELL_ENEMY_DIC
2,0,0,39,28,39,0,22,18,20,normal,1200,8,air,3,8,0,9,6,5,15,0,normal,none,target,-1,0,0
2,79,0,31,32,111,0,15,20,10,normal,3000,12,air,5,3,0,9,6,3,20,0,normal,random,target,30,200,0
2,0,32,64,53,64,32,38,28,190,normal,2000,15,air,4,36,0,6,6,1,270,30,normal,none,269,-1,0,0
2,145,0,94,56,145,57,45,29,240,score,20000,8,air,7,11,9,2,6,11,22,2,medium,random,target,-1,0,0
2,1,114,95,48,98,114,52,4,320,score,15000,6,air,6,5,4,0,6,5,12,10,medium,none,269,-1,0,0
2,0,164,80,76,84,164,38,66,2000,score,70000,3,air,3,35,0,13,6,9,13,7,medium,none,target,-1,0,0
2,0,0,39,28,39,0,22,18,20,normal,1200,8,air,-3,8,0,9,6,5,15,0,normal,none,target,-1,0,0
17,0,12,103,74,0,12,52,58,10000,score,500000,15,air,7,31,0,4,5,6,1,0,large,none,target,-1,0,0
:HELL_ENEMY_DIC

:ENEMY_TEST
50,5,center,up
10,7,center,up,boss

50,7,center,up,boss
10,7,center,up,boss
:ENEMY_TEST

:ENEMY
80,6,right,50
95,6,right,35
110,6,right,10
110,0,left,50
125,0,left,35
140,0,left,10

160,1,160,up
170,1,160,up
170,1,120,up
180,1,120,up
180,1,80,up
190,1,80,up
190,1,40,up

210,3,center,up

250,6,right,60
255,6,right,30
260,6,right,0
290,1,0,up
295,1,40,up
300,1,80,up

340,4,120,up

380,3,40,up


440,1,20,up
440,1,60,up
440,1,100,up
440,1,140,up
440,1,180,up

470,1,20,up
470,1,60,up
470,1,100,up
470,1,140,up
470,1,180,up


520,5,center,up
830,6,right,0
840,4,center,up
840,1,160,up
850,1,120,up

890,3,20,up
910,6,right,60
910,3,130,up
940,1,left,60

980,4,center,up
990,1,30,up
990,1,120,up
1000,1,60,up
1000,1,90,up
1050,3,30,up
1050,3,120,up
1120,3,center,up


1230,0,66,50,warning
1235,4,0,0,bgSpeed
1350,7,center,up,boss
1360,8,0,0,bgSpeed
100,13,0,0,bgImage
100,12,0,0,bgImage
:ENEMY
